"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
665833,"Cruz, Oneil",198,0.9041095890410958,134,"78.623446364",0.7525252525252527,0.3805970149253731,0.25757575757575757,0.291044776119403,0.19696969696969696,"7.703090808",4,0.055367623658793885,64,0.32323232323232326,73,0.3686868686868687
691406,"Caminero, Junior",229,0.9015748031496063,186,"78.483586943",0.7816593886462883,0.26344086021505375,0.21397379912663755,0.1935483870967742,0.1572052401746725,"8.216875764",5,0.427490234592772,43,0.18777292576419213,86,0.37554585152838427
691023,"Walker, Jordan",214,0.9145299145299145,142,"77.593790047",0.7476635514018691,0.2535211267605634,0.16822429906542055,0.14084507042253522,0.09345794392523364,"8.038920981",3,-7.852310177284773,72,0.3364485981308411,69,0.32242990654205606
666176,"Adell, Jo",168,0.8983957219251337,127,"77.127071429",0.6726190476190477,0.25196850393700787,0.19047619047619047,0.16535433070866143,0.125,"7.683673631",3,-6.9328870162040355,41,0.24404761904761904,60,0.35714285714285715
678877,"Noel, Jhonkensy",132,0.9041095890410958,92,"77.00973053",0.6590909090909091,0.22826086956521738,0.1590909090909091,0.15217391304347827,0.10606060606060606,"7.571825227",4,-9.066322018225135,40,0.30303030303030304,41,0.3106060606060606
660271,"Ohtani, Shohei",228,0.8976377952755905,154,"76.61711114",0.6622807017543858,0.4155844155844156,0.2807017543859649,0.33116883116883117,0.2236842105263158,"8.059157763",4,2.8185650655343455,74,0.32456140350877194,77,0.33771929824561403
670541,"Alvarez, Yordan",204,0.9147982062780269,160,"76.602470588",0.6764705882352943,0.3125,0.24509803921568626,0.1875,0.14705882352941177,"7.759619167",0,-9.32662694249019,44,0.21568627450980393,78,0.38235294117647056
592450,"Judge, Aaron",235,0.9003831417624522,173,"76.590740851",0.6765957446808509,0.35260115606936415,0.25957446808510637,0.24855491329479767,0.1829787234042553,"8.152046894",6,15.525264826937216,62,0.26382978723404255,92,0.39148936170212767
656941,"Schwarber, Kyle",212,0.8983050847457628,155,"76.478348585",0.7264150943396226,0.36774193548387096,0.2688679245283019,0.23870967741935484,0.17452830188679244,"7.528566368",10,3.3044977570502008,57,0.2688679245283019,81,0.38207547169811323
624413,"Alonso, Pete",267,0.9175257731958762,211,"76.309311723",0.6367041198501873,0.33649289099526064,0.26591760299625467,0.24170616113744076,0.19101123595505617,"7.118520412",2,8.417729797884586,56,0.20973782771535582,94,0.352059925093633
575929,"Contreras, Willson",261,0.90625,186,"75.935",0.5747126436781609,0.27956989247311825,0.19923371647509577,0.1774193548387097,0.12643678160919541,"7.874195249",2,-5.5127919591535095,75,0.28735632183908044,87,0.3333333333333333
665489,"Guerrero Jr., Vladimir",216,0.9037656903765691,162,"75.872369028",0.6157407407407407,0.35185185185185186,0.2638888888888889,0.22839506172839505,0.1712962962962963,"7.560752685",1,-4.6346920712682484,54,0.25,91,0.4212962962962963
663586,"Riley, Austin",277,0.8993506493506493,200,"75.830268845",0.6028880866425994,0.27,0.19494584837545126,0.185,0.13357400722021662,"7.537801372",6,2.955771014941223,77,0.2779783393501805,86,0.3104693140794224
682829,"De La Cruz, Elly",219,0.9087136929460581,152,"75.470277717",0.5570776255707762,0.34868421052631576,0.2420091324200913,0.2236842105263158,0.1552511415525114,"7.124929635",4,-6.283113674589509,67,0.3059360730593607,84,0.3835616438356164
695578,"Wood, James",247,0.9047619047619048,186,"75.46661583",0.6032388663967612,0.27956989247311825,0.21052631578947367,0.1881720430107527,0.1417004048582996,"7.466104211",6,0.3789919595434066,61,0.24696356275303644,85,0.3441295546558704
606466,"Marte, Ketel",65,0.9027777777777778,50,"75.461423231",0.5538461538461539,0.36,0.27692307692307694,0.26,0.2,"7.978624769",1,-1.1795489065328086,15,0.23076923076923078,27,0.4153846153846154
663624,"Mountcastle, Ryan",200,0.9049773755656109,136,"75.4438034",0.5499999999999999,0.3235294117647059,0.22,0.16176470588235295,0.11,"7.66033625",6,-4.857370136089068,64,0.32,69,0.345
701358,"Smith, Cam",141,0.9096774193548387,100,"75.417364184",0.5886524822695035,0.25,0.1773049645390071,0.14,0.09929078014184398,"7.51104695",4,-4.959693186036686,41,0.2907801418439716,53,0.375886524822695
669394,"Burger, Jake",175,0.9114583333333334,127,"75.375993714",0.5942857142857142,0.2992125984251969,0.21714285714285714,0.1968503937007874,0.14285714285714285,"7.529795143",4,-7.257167090899142,48,0.2742857142857143,65,0.37142857142857144
656305,"Chapman, Matt",241,0.9026217228464419,182,"75.358999046",0.5394190871369294,0.2967032967032967,0.22406639004149378,0.17582417582417584,0.13278008298755187,"7.465956017",10,-6.841268753953906,59,0.24481327800829875,79,0.3278008298755187
677594,"Rodríguez, Julio",266,0.9204152249134948,181,"75.346388496",0.5225563909774436,0.3259668508287293,0.22180451127819548,0.17679558011049723,0.12030075187969924,"7.696284361",4,-11.360046468412783,85,0.31954887218045114,98,0.3684210526315789
673357,"Robert Jr., Luis",239,0.8984962406015038,175,"75.270627908",0.5606694560669455,0.22285714285714286,0.16317991631799164,0.14285714285714285,0.10460251046025104,"7.795701883",8,-2.821949799820434,64,0.26778242677824265,72,0.301255230125523
672356,"Arias, Gabriel",196,0.8990825688073395,118,"75.214649388",0.5306122448979591,0.288135593220339,0.17346938775510204,0.1694915254237288,0.10204081632653061,"7.614698163",8,-2.403730124453691,78,0.3979591836734694,66,0.336734693877551
671213,"Casas, Triston",190,0.9090909090909091,130,"75.123075737",0.5421052631578948,0.27692307692307694,0.18947368421052632,0.17692307692307693,0.12105263157894737,"7.991144421",3,-9.025521366738326,60,0.3157894736842105,64,0.3368421052631579
682998,"Carroll, Corbin",274,0.8954248366013072,197,"74.994591861",0.48540145985401456,0.3147208121827411,0.22627737226277372,0.2131979695431472,0.15328467153284672,"7.288842737",6,5.804328961870977,77,0.28102189781021897,91,0.33211678832116787
683002,"Henderson, Gunnar",175,0.9114583333333334,133,"74.866084629",0.5028571428571428,0.39097744360902253,0.29714285714285715,0.2631578947368421,0.2,"7.363365429",3,-4.059036619095439,42,0.24,72,0.4114285714285714
666624,"Morel, Christopher",185,0.8980582524271845,121,"74.77772227",0.48108108108108116,0.2396694214876033,0.15675675675675677,0.1322314049586777,0.08648648648648649,"8.169908595",6,-2.9678456047547646,64,0.34594594594594597,48,0.2594594594594595
592518,"Machado, Manny",245,0.9074074074074074,189,"74.615245429",0.4489795918367348,0.35978835978835977,0.27755102040816326,0.2222222222222222,0.17142857142857143,"7.832593469",3,0.09700711659968753,56,0.22857142857142856,95,0.3877551020408163
621439,"Buxton, Byron",239,0.9018867924528302,167,"74.573434059",0.4225941422594143,0.30538922155688625,0.21338912133891214,0.18562874251497005,0.1297071129707113,"7.99725477",4,-0.7011602491444987,72,0.301255230125523,80,0.33472803347280333
700250,"Rice, Ben",180,0.9,135,"74.567303278",0.4722222222222223,0.35555555555555557,0.26666666666666666,0.2222222222222222,0.16666666666666666,"7.539003833",5,4.417346409844231,45,0.25,70,0.3888888888888889
547180,"Harper, Bryce",258,0.8989547038327527,173,"74.522690271",0.48449612403100784,0.3063583815028902,0.2054263565891473,0.19653179190751446,0.13178294573643412,"7.492882132",5,-6.515357070630395,85,0.32945736434108525,89,0.3449612403100775
669065,"Stowers, Kyle",223,0.8991935483870968,151,"74.484543363",0.430493273542601,0.2847682119205298,0.19282511210762332,0.1986754966887417,0.13452914798206278,"6.623443991",11,-0.10437123845618945,72,0.32286995515695066,73,0.3273542600896861
663457,"Nootbaar, Lars",206,0.9074889867841409,172,"74.409845971",0.4902912621359225,0.3546511627906977,0.2961165048543689,0.21511627906976744,0.1796116504854369,"6.939097816",3,-4.002721846516095,34,0.1650485436893204,96,0.46601941747572817
670042,"Raley, Luke",166,0.9120879120879121,101,"74.328463494",0.43975903614457834,0.297029702970297,0.18072289156626506,0.18811881188118812,0.1144578313253012,"7.169944518",2,-9.21855558000506,65,0.39156626506024095,44,0.26506024096385544
694671,"Langford, Wyatt",162,0.9152542372881356,129,"74.271506667",0.40740740740740733,0.3643410852713178,0.29012345679012347,0.15503875968992248,0.12345679012345678,"7.225660123",0,1.7613361624219719,33,0.2037037037037037,67,0.41358024691358025
696100,"Goodman, Hunter",232,0.9133858267716536,161,"74.253360388",0.39224137931034486,0.2981366459627329,0.20689655172413793,0.15527950310559005,0.10775862068965517,"7.148544871",5,-1.850539925033731,71,0.30603448275862066,81,0.34913793103448276
663728,"Raleigh, Cal",295,0.9021406727828746,215,"74.232911559",0.4271186440677966,0.2558139534883721,0.1864406779661017,0.15813953488372093,0.1152542372881356,"7.819407492",6,2.0222995551876193,80,0.2711864406779661,86,0.29152542372881357
641857,"McMahon, Ryan",229,0.9051383399209486,161,"74.231632271",0.4323144104803496,0.2981366459627329,0.2096069868995633,0.14285714285714285,0.10043668122270742,"7.449869563",8,-14.510639894591732,68,0.29694323144104806,67,0.2925764192139738
682985,"Greene, Riley",268,0.8963210702341137,193,"74.185997201",0.4365671641791045,0.27979274611398963,0.20149253731343283,0.15025906735751296,0.10820895522388059,"7.053665784",1,-3.3542100584985026,75,0.2798507462686567,83,0.30970149253731344
677800,"Abreu, Wilyer",237,0.9080459770114943,199,"74.149137426",0.38396624472573837,0.25125628140703515,0.2109704641350211,0.1708542713567839,0.14345991561181434,"7.023967426",9,1.3392672361261377,38,0.16033755274261605,79,0.3333333333333333
671732,"Butler, Lawrence",250,0.9057971014492754,168,"74.11728256",0.41600000000000004,0.35714285714285715,0.24,0.19642857142857142,0.132,"7.01000292",2,-10.162650043305508,82,0.328,93,0.372
677951,"Witt Jr., Bobby",257,0.9081272084805654,202,"74.092796031",0.45136186770428016,0.31683168316831684,0.2490272373540856,0.17326732673267325,0.13618677042801555,"7.043415837",6,5.6814633470676545,55,0.2140077821011673,100,0.38910505836575876
691016,"Soderstrom, Tyler",231,0.8988326848249028,185,"73.981312554",0.367965367965368,0.32972972972972975,0.26406926406926406,0.21621621621621623,0.17316017316017315,"7.590448398",9,-1.626850742484522,46,0.19913419913419914,95,0.41125541125541126
700242,"Sweeney, Trey",197,0.9205607476635514,153,"73.95511132",0.3401015228426396,0.2875816993464052,0.2233502538071066,0.1830065359477124,0.14213197969543148,"7.534455076",2,-5.090261835311231,44,0.2233502538071066,76,0.38578680203045684
686469,"Pasquantino, Vinnie",233,0.9031007751937985,186,"73.908734292",0.407725321888412,0.3548387096774194,0.2832618025751073,0.16129032258064516,0.12875536480686695,"7.481149313",5,-5.429325739569715,47,0.2017167381974249,101,0.4334763948497854
657757,"Sheets, Gavin",173,0.9010416666666666,134,"73.899149422",0.43352601156069365,0.31343283582089554,0.24277456647398843,0.16417910447761194,0.12716763005780346,"7.747862081",7,-0.22250151729519496,39,0.2254335260115607,62,0.3583815028901734
624585,"Soler, Jorge",212,0.905982905982906,154,"73.893228585",0.39150943396226423,0.3116883116883117,0.22641509433962265,0.18181818181818182,0.1320754716981132,"7.847337028",4,-0.120692373131292,58,0.27358490566037735,79,0.37264150943396224
542303,"Ozuna, Marcell",188,0.9038461538461539,141,"73.889136968",0.4361702127659574,0.3546099290780142,0.26595744680851063,0.18439716312056736,0.13829787234042554,"7.267916968",1,-2.093383950892314,47,0.25,66,0.35106382978723405
687597,"Beck, Jordan",144,0.9113924050632911,91,"73.852515069",0.43750000000000006,0.2967032967032967,0.1875,0.17582417582417584,0.1111111111111111,"7.781568542",0,6.365782175952904,53,0.3680555555555556,40,0.2777777777777778
694192,"Chourio, Jackson",281,0.9064516129032258,222,"73.763135516",0.4199288256227758,0.31981981981981983,0.2526690391459075,0.15765765765765766,0.12455516014234876,"7.676466619",6,-0.1109853159237672,59,0.2099644128113879,113,0.40213523131672596
572233,"Walker, Christian",248,0.9018181818181819,188,"73.720251532",0.36290322580645157,0.26595744680851063,0.20161290322580644,0.13829787234042554,0.10483870967741936,"7.366589597",11,-8.314365825332299,60,0.24193548387096775,76,0.3064516129032258
667670,"Rooker, Brent",272,0.9036544850498339,190,"73.701281765",0.3639705882352942,0.34210526315789475,0.23897058823529413,0.16842105263157894,0.11764705882352941,"7.204696581",8,-3.8600948814983056,82,0.3014705882352941,97,0.35661764705882354
621566,"Olson, Matt",243,0.9135338345864662,187,"73.686191152",0.4156378600823045,0.32620320855614976,0.25102880658436216,0.1925133689839572,0.14814814814814814,"7.396119959",4,-7.139014374133441,56,0.23045267489711935,85,0.3497942386831276
680776,"Duran, Jarren",249,0.8989169675090253,195,"73.664847068",0.34939759036144585,0.36923076923076925,0.2891566265060241,0.21025641025641026,0.1646586345381526,"7.307410843",4,-3.0897149049287655,54,0.21686746987951808,115,0.46184738955823296
666134,"Jones, Nolan",148,0.8862275449101796,106,"73.566214392",0.38513513513513514,0.27358490566037735,0.19594594594594594,0.1509433962264151,0.10810810810810811,"6.940657365",4,-7.991813195477485,42,0.28378378378378377,39,0.2635135135135135
650490,"Díaz, Yandy",226,0.900398406374502,191,"73.537861903",0.38495575221238953,0.3717277486910995,0.3141592920353982,0.24083769633507854,0.20353982300884957,"7.61963323",3,-8.294721060603539,35,0.15486725663716813,108,0.4778761061946903
665742,"Soto, Juan",199,0.9045454545454545,171,"73.435441558",0.38190954773869346,0.4444444444444444,0.38190954773869346,0.2982456140350877,0.2562814070351759,"7.041708593",9,-0.07913777801621036,28,0.1407035175879397,102,0.5125628140703518
663698,"Bart, Joey",139,0.9025974025974026,98,"73.408671151",0.3525179856115108,0.3163265306122449,0.22302158273381295,0.17346938775510204,0.1223021582733813,"7.284455252",5,-5.7350666541107245,41,0.2949640287769784,52,0.37410071942446044
592626,"Pederson, Joc",158,0.9132947976878613,126,"73.407377278",0.3227848101265823,0.30952380952380953,0.2468354430379747,0.10317460317460317,0.08227848101265822,"7.586787722",2,-14.6008928858699,32,0.20253164556962025,56,0.35443037974683544
669224,"Wells, Austin",216,0.9,163,"73.402378426",0.3472222222222223,0.3067484662576687,0.23148148148148148,0.17791411042944785,0.13425925925925927,"7.625638194",5,-3.48700358499198,53,0.24537037037037038,75,0.3472222222222222
624424,"Conforto, Michael",190,0.9134615384615384,137,"73.371134842",0.31052631578947376,0.22627737226277372,0.1631578947368421,0.10948905109489052,0.07894736842105263,"7.318215789",1,-11.358192911703384,53,0.2789473684210526,56,0.29473684210526313
670223,"Mervis, Matt",181,0.905,103,"73.35709768",0.3480662983425415,0.3106796116504854,0.17679558011049723,0.17475728155339806,0.09944751381215469,"8.267043204",5,-1.129851094641273,78,0.430939226519337,44,0.2430939226519337
671218,"Ramos, Heliot",275,0.9016393442622951,214,"73.337846655",0.3963636363636365,0.26635514018691586,0.20727272727272728,0.14018691588785046,0.10909090909090909,"6.7021408",7,-5.799931630780713,61,0.22181818181818183,91,0.33090909090909093
670224,"Misner, Kameron",160,0.898876404494382,112,"73.241027875",0.2750000000000001,0.30357142857142855,0.2125,0.125,0.0875,"7.823658",3,-3.2922491595993217,48,0.3,58,0.3625
621043,"Correa, Carlos",221,0.9246861924686193,174,"73.237719457",0.36651583710407243,0.28160919540229884,0.22171945701357465,0.16091954022988506,0.12669683257918551,"7.27548362",0,-11.4102164605927,47,0.21266968325791855,86,0.3891402714932127
677347,"Paris, Kyren",156,0.9176470588235294,84,"73.234583974",0.3653846153846153,0.2619047619047619,0.14102564102564102,0.15476190476190477,0.08333333333333333,"7.477145064",0,0.4846588218014173,72,0.46153846153846156,37,0.23717948717948717
665487,"Tatis Jr., Fernando",225,0.907258064516129,169,"73.219863333",0.3555555555555556,0.3905325443786982,0.29333333333333333,0.25443786982248523,0.19111111111111112,"7.133707956",5,5.846441930575797,56,0.24888888888888888,90,0.4
692225,"Campbell, Kristian",203,0.8942731277533039,147,"73.193097882",0.374384236453202,0.3469387755102041,0.2512315270935961,0.19047619047619047,0.13793103448275862,"6.820405419",6,-1.1033397500678974,56,0.27586206896551724,70,0.3448275862068966
545361,"Trout, Mike",201,0.9013452914798207,143,"73.18753199",0.3034825870646767,0.3146853146853147,0.22388059701492538,0.16083916083916083,0.11442786069651742,"7.39034204",7,-6.107637219507367,58,0.2885572139303483,67,0.3333333333333333
686611,"Crews, Dylan",192,0.9056603773584906,138,"73.186525104",0.35416666666666663,0.3333333333333333,0.23958333333333334,0.17391304347826086,0.125,"7.196051406",9,-9.583272334013632,54,0.28125,75,0.390625
666160,"Moniak, Mickey",143,0.89375,102,"73.109112308",0.27272727272727265,0.38235294117647056,0.2727272727272727,0.17647058823529413,0.1258741258741259,"7.589014615",6,-3.5291131610286888,41,0.2867132867132867,64,0.44755244755244755
679529,"Torkelson, Spencer",248,0.9084249084249084,185,"73.063598105",0.23790322580645168,0.32432432432432434,0.24193548387096775,0.1891891891891892,0.14112903225806453,"7.795092661",2,-3.451565412162318,63,0.2540322580645161,80,0.3225806451612903
671739,"Harris II, Michael",227,0.9043824701195219,188,"72.998322643",0.2731277533039648,0.2765957446808511,0.2290748898678414,0.15425531914893617,0.1277533039647577,"7.720780396",3,-11.0596013243015,39,0.17180616740088106,98,0.43171806167400884
669911,"Toglia, Michael",213,0.891213389121339,144,"72.997234601",0.2300469483568075,0.2777777777777778,0.18779342723004694,0.1527777777777778,0.10328638497652583,"7.624494225",6,-9.51870511984969,69,0.323943661971831,66,0.30985915492957744
661388,"Contreras, William",217,0.9004149377593361,170,"72.924854055",0.31797235023041476,0.37058823529411766,0.2903225806451613,0.16470588235294117,0.12903225806451613,"7.081919263",4,-1.9838884491081603,47,0.21658986175115208,87,0.4009216589861751
